date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:27	50744/50744	---M--	200	added ('OK')	image/jpeg	etag:%2258121ae5ff5bef801052f05f2b58638d%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/5f6632ee2c6eefb9004255fa_moi.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/5f6632ee2c6eefb9004255fa_moi.jpg	(from https://www.jaro.io/about)
15:46:27	748459/748459	---MCZ	200	added ('OK')	application/javascript	etag:%22b6bab-5c885e524d79c-gzip%22	https://dev.jaro.io/jaro/dist/app.min.js	C:/Users/legen/Desktop/Motley/Motley/dev.jaro.io/jaro/dist/app.min.js	(from https://www.jaro.io/)
15:46:30	46565/46565	---M--	200	added ('OK')	image/jpeg	etag:%225bac997f6a226cea4055c3e99f6d4508%22	https://assets.website-files.com/5e0f6cce946b1267aba0d581/60b28677bb7cc647b74afd82_cover.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b1267aba0d581/60b28677bb7cc647b74afd82_cover.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:31	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sat,%2028%20Aug%202021%2012:46:32%20GMT	https://www.jaro.io/projects/%22https://assets.website-files.com/5e0f6cce946b1267aba0d581/60b28a949d53e4231699bdfc_background.jpg%22	C:/Users/legen/Desktop/Motley/Motley/www.jaro.io/projects/_https_/assets.website-files.com/5e0f6cce946b1267aba0d581/60b28a949d53e4231699bdfc_background.16.delayed	(from https://www.jaro.io/projects/sos-foods)
15:46:32	51390/51390	---M--	200	added ('OK')	image/jpeg	etag:%22333abdaa7cd24f9c938f11964c62a359%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60c146b32dfa42a7388d0558_product_b_baharat.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60c146b32dfa42a7388d0558_product_b_baharat.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:33	51559/51559	---M--	200	added ('OK')	image/jpeg	etag:%22d68de338da99b23c71ce8b96401c055b%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3d6b63a118731d81a_product_c_zatar.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3d6b63a118731d81a_product_c_zatar.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:39	51593/51593	---M--	200	added ('OK')	image/jpeg	etag:%227bb7f67fb9634dcfca488fee417d08ea%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3f8621914806294ae_product_d_paprika.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3f8621914806294ae_product_d_paprika.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:40	50121/50121	---M--	200	added ('OK')	image/jpeg	etag:%22e2dee2f73b397120535aeb30135ec3b3%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3d6b63a24cc31d81b_product_e_fennel.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3d6b63a24cc31d81b_product_e_fennel.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:40	46577/46577	---M--	200	added ('OK')	image/jpeg	etag:%22a038dba7a7547e5f8dd7a61b625d7881%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60c146b36b236bc03ca6ac78_product_f_chili.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60c146b36b236bc03ca6ac78_product_f_chili.jpg	(from https://www.jaro.io/projects/sos-foods)
15:46:40	45639/45639	---M--	200	added ('OK')	image/jpeg	etag:%222c9a6420d7b3bfbb4886df41eb749946%22	https://assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3e1076535ad0990e6_product_g_bayleaves.jpg	C:/Users/legen/Desktop/Motley/Motley/assets.website-files.com/5e0f6cce946b126508a0d575/60c146b3e1076535ad0990e6_product_g_bayleaves.jpg	(from https://www.jaro.io/projects/sos-foods)
